episode,reward,return,hold_actions,buy_actions,sell_actions
333,1153.052047774896,11.530520477748961,712,866,642
334,6838.754338981558,68.49398599055279,704,848,668
335,23920.16738747465,239.2016738747465,766,800,654
336,24316.271089697177,243.3796338990453,753,780,687
337,206.5190858660426,2.129709196187246,760,844,616
338,12865.661936341421,128.80115977745467,748,831,641
339,8836.02497236921,88.47931764553762,700,913,607
340,4383.117040805644,43.92209022039595,734,866,620
341,-7178.073002016534,-71.7628918094101,734,828,658
342,-2962.192508747502,-29.57743708570377,730,858,632
343,4422.823795366519,44.22823795366519,713,863,644
344,55865.91452249205,559.0755025813241,772,844,604
345,76577.8428358695,766.3257117605516,740,841,639
346,19860.637445279124,198.7951321153452,778,802,640
347,-1124.2031649039527,-11.185925188922374,735,837,648
348,19113.35273486207,191.31756120996783,728,848,644
349,1893.4728417704282,19.009910474262036,715,864,641
350,16444.800056257674,164.44800056257677,753,846,621
351,2235.2368758659723,22.429711203800572,711,867,642
352,4216.936899439073,42.259238334344815,756,826,638
353,-908.6344826559816,-9.028875694910443,733,823,664
354,5639.352727599948,56.39352727599947,696,886,638
355,9890.380610212502,99.02953890867252,768,808,644
356,4996.8832892431055,49.96883289243106,702,841,677
357,-5819.079799900865,-58.19079799900875,740,849,631
358,14166.330419946273,141.66330419946274,743,850,627
359,5773.103404408386,57.83074035930549,742,810,668
360,-325.012995412857,-3.188971583495259,740,852,628
361,47741.47816023267,477.77978206388445,747,840,633
362,13922.379998108263,139.37502021338491,711,884,625
363,27298.962737643604,273.22540482877423,727,855,638
364,14352.231124291447,143.52231124291447,689,883,648
365,28087.873707619518,280.8787370761952,756,844,620
366,7527.7445137621635,75.38824304306901,693,853,674
367,18438.862532337524,184.38862532337527,777,796,647
368,2988.3303890523166,29.965406855980902,711,849,660
369,5362.190192940032,53.62190192940033,733,865,622
370,2841.5219869951416,28.496394817349714,742,810,668
371,28819.73639580694,288.442754657329,746,833,641
372,-2242.724091669832,-22.42724091669832,718,850,652
373,836.301182182604,8.431511192799857,709,829,682
374,5449.598855991007,54.49598855991007,680,847,693
375,100524.36625709047,1005.942318822573,735,861,624
376,-939.7812971029689,-9.340540727336954,737,847,636
377,32271.876386791926,322.98597653520284,736,829,655
378,52141.44861224214,521.8073000604779,701,836,683
379,1566.4089271506828,15.664089271506842,735,835,650
380,7413.435013704988,74.24442545932813,729,854,637
381,-3877.8479673414267,-38.73977979268992,720,868,632
382,5718.016022764654,57.27951831971272,715,857,648
383,1009.033693374513,10.159928196515299,731,850,639
384,29609.78404413184,296.34822525859295,741,841,638
385,3872.7737142092537,38.727737142092586,766,824,630
386,4330.944890369785,43.30944890369777,715,883,622
387,11778.104004324847,117.78104004324845,721,813,686
388,13685.352991138527,137.0032518279239,697,847,676
389,5868.385571308672,58.784164334241694,762,839,619
390,42071.8759840914,421.0479211193217,705,860,655
391,6985.5529893447565,69.96290045060094,685,867,668
392,41985.7472946688,420.1860897809215,753,822,645
393,11088.346455974897,111.01677005235446,748,823,649
394,11130.855286906517,111.44212707219565,738,853,629
395,1669.0747516744996,16.764511088548485,732,863,625
396,11839.424621883627,118.5322994921699,753,827,640
397,4095.174502751939,41.040844672404916,736,862,622
398,8882.533391781555,88.82533391781556,697,873,650
399,7429.176619184007,74.29176619184008,756,833,631
400,-4492.66192274129,-44.89180576221945,709,879,632
401,45240.9941317786,452.7591355018881,708,880,632
402,59946.78970294708,599.9100507695466,723,858,639
403,51533.35385142391,515.7225085107231,735,843,642
404,57846.410532689304,578.8929819671956,731,827,662
405,24214.427353967214,242.14427353967216,748,859,613
406,9992.618028216624,100.05255936078625,766,806,648
407,9126.589054802804,91.38679520886224,736,850,634
408,19086.53576210554,190.8653576210554,747,833,640
409,5359.641061102509,53.59641061102509,727,855,638
410,7082.677956979569,70.93476408175493,710,865,645
411,-7649.0819457486705,-76.49081945748671,736,867,617
412,4023.7740238735114,40.32638854069393,755,843,622
413,11065.036876528513,110.65036876528511,738,852,630
414,8863.636409596344,88.63636409596343,736,854,630
415,39957.308163732305,399.8888761254265,756,837,627
416,-3311.7073322584647,-33.117073322584645,784,841,595
417,-1293.9499748483368,-12.884466306687713,703,875,642
418,11928.926482867006,119.42788386896379,734,856,630
419,44330.866492237255,443.3086649223726,721,849,650
420,-2443.941514659723,-24.43941514659723,729,780,711
421,23772.212721694937,237.72212721694936,708,843,669
422,-3793.250720729745,-37.893272563088644,735,854,631
423,7635.715026645215,76.35715026645215,728,864,628
424,-1223.9786030684336,-12.18431027975827,763,820,637
425,145408.16747109804,1454.0816747109805,715,828,677
426,16267.883682860102,162.84488366311024,732,863,625
427,18301.264138435854,183.19154180052956,729,849,642
428,3678.8326631288473,36.788326631288484,764,831,625
429,2566.744801944349,25.667448019443494,749,809,662
430,16728.49939481289,167.2849939481289,758,841,621
431,23202.016738663813,232.23004686704618,715,868,637
432,30700.242610992034,307.00242610992035,767,816,637
433,-6807.0733554351,-68.05055014831207,760,849,611
434,6547.083142860585,65.47083142860586,753,821,646
435,18348.087914363008,183.66007554633228,727,881,612
436,32931.95116073133,329.59089679675645,687,871,662
